system;ArchiMob baseline;whisper-large Sicard et al.;whisper-medium Sicard et al.;whisper-small Sicard et al.;whisper-base Sicard et al.;whisper-tiny Sciard et al.;NNET-DISC Nigmatulina;TDNN-iVector Nigmatulina
ArchiMob baseline;1.0
whisper-large Sicard et al.;0.6900655593423541;0.9999999999999999
whisper-medium Sicard et al.;0.6900655593423541;0.7333333333333333;0.9999999999999999
whisper-small Sicard et al.;0.6900655593423541;0.7333333333333333;0.9999999999999999;0.9999999999999999
whisper-base Sicard et al.;0.5520524474738834;0.6;0.8666666666666666;0.8666666666666666;0.9999999999999999
whisper-tiny Sciard et al.;0.41403933560541256;0.7333333333333333;0.7333333333333333;0.7333333333333333;0.8666666666666666;0.9999999999999999
NNET-DISC Nigmatulina;0.6900655593423541;0.4666666666666666;0.7333333333333333;0.7333333333333333;0.8666666666666666;0.7333333333333333;0.9999999999999999
TDNN-iVector Nigmatulina;0.6900655593423541;0.4666666666666666;0.7333333333333333;0.7333333333333333;0.8666666666666666;0.7333333333333333;0.9999999999999999;0.9999999999999999
