System Name;Dialect;Performance;Writing System;Corpus Name;Corpus Topic;Automatic vs. Manual Transcription;Known Transcriber Differences;Training Dialects;Overlap in Training and Test in Terms of Dialect;Number of Different Speakers (Training Overall);Number of Different Speakers (Training Per Dialect);Different Speakers Test;Overlap between Test and Training Speakers;Training Set Size (Utterances Per Dialect);Training Set Size (Words Per Dialect);Mean Utterance Length in Words (Training Overall);Mean Utterance Length in Words (Training per Dialect);Vocab Size (Training Overall);Vocab Size (Training Per Dialect);Token Ratio (Training Overall);Token Ratio (Training Per Dialect);Charcter Ratio (Training Overall);Character Ratio (Training Per Dialect);Test Set Size ( in Words);Mean Utterance Length in Words (Test);Vocab Size Test;Token Ratio (Test);Charcter Ratio (Testl)
NNET-DISC Nigmatulina;Basel-Landschaft;57;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;2047;2047;6.784099784;7.610161212;2686;2686;0.566124614;0.000435492;1.85238E-05;0.000567537;2047;7.610161212;2686;0.131403261;0.000567537
NNET-DISC Nigmatulina;Schaffhausen;57;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;1806;1806;6.784099784;9.57530454;3020;3020;0.566124614;0.000392303;1.85238E-05;0.000375084;1806;9.57530454;3020;0.104435321;0.000375084
NNET-DISC Nigmatulina;Aargau;57;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;6;6;Yes;15590;15590;6.784099784;6.591084028;13221;13221;0.566124614;6.60221E-05;1.85238E-05;8.66818E-05;15590;6.591084028;13221;0.151720111;8.66818E-05
NNET-DISC Nigmatulina;Nidwalden;56;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;2;2;Yes;3529;3529;6.784099784;7.564465854;4394;4394;0.566124614;0.000254134;1.85238E-05;0.000362605;3529;7.564465854;4394;0.132197041;0.000362605
NNET-DISC Nigmatulina;Zurich;55;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;14;14;Yes;29415;29967;6.784099784;6.481047085;20320;20320;0.566124614;3.55859E-05;1.85238E-05;3.11456E-05;29967;6.481047085;20320;0.157191565;3.11456E-05
NNET-DISC Nigmatulina;Grisons;31;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;441;48313;6.784099784;6.886621315;900;900;0.566124614;0.002233816;1.85238E-05;0.002188679;48313;6.886621315;900;15.90813303;0.002188679
TDNN-iVector Nigmatulina;Valais;64;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;1464;1464;6.784099784;7.846994536;4452;4452;0.566124614;0.000590538;1.85238E-05;0.00078265;1464;7.846994536;4452;0.127437326;0.00078265
TDNN-iVector Nigmatulina;St. Gallen;60;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;3089;3089;6.784099784;6.235998705;3606;3606;0.566124614;0.000352183;1.85238E-05;0.000430426;3089;6.235998705;3606;0.160359238;0.000430426
TDNN-iVector Nigmatulina;Luzern;55;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;5;5;Yes;6959;6959;6.784099784;6.942520477;7085;7085;0.566124614;0.00014042;1.85238E-05;0.000192523;6959;6.942520477;7085;0.144039906;0.000192523
TDNN-iVector Nigmatulina;Bern;51;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;6;6;Yes;11417;11417;6.784099784;7.021196461;10923;10923;0.566124614;8.46309E-05;1.85238E-05;0.000114499;11417;7.021196461;10923;0.142425868;0.000114499
TDNN-iVector Nigmatulina;Glarus;51;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;2;2;Yes;4561;4561;6.784099784;5.883797413;4456;4456;0.566124614;0.000252798;1.85238E-05;0.000345435;4561;5.883797413;4456;0.169958265;0.000345435
TDNN-iVector Nigmatulina;Schwyz;49;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;1061;1061;6.784099784;9.165881244;2298;2298;0.566124614;0.000697594;1.85238E-05;0.000814093;1061;9.165881244;2298;0.109100257;0.000814093
TDNN-iVector Nigmatulina;Basel-Stadt;49;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;5;5;Yes;11583;11583;6.784099784;6.443753777;10637;10637;0.566124614;9.08934E-05;1.85238E-05;0.000112671;11583;6.443753777;10637;0.155189046;0.000112671
TDNN-iVector Nigmatulina;Uri;49;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;1214;1214;6.784099784;8.36490939;1969;1969;0.566124614;0.000668055;1.85238E-05;0.000712443;1214;8.36490939;1969;0.119547021;0.000712443
TDNN-iVector Nigmatulina;Basel-Landschaft;43;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;2047;2047;6.784099784;7.610161212;2686;2686;0.566124614;0.000435492;1.85238E-05;0.000567537;2047;7.610161212;2686;0.131403261;0.000567537
TDNN-iVector Nigmatulina;Schaffhausen;42;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;1806;1806;6.784099784;9.57530454;3020;3020;0.566124614;0.000392303;1.85238E-05;0.000375084;1806;9.57530454;3020;0.104435321;0.000375084
TDNN-iVector Nigmatulina;Aargau;42;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;6;6;Yes;15590;15590;6.784099784;6.591084028;13221;13221;0.566124614;6.60221E-05;1.85238E-05;8.66818E-05;15590;6.591084028;13221;0.151720111;8.66818E-05
TDNN-iVector Nigmatulina;Nidwalden;41;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;2;2;Yes;3529;3529;6.784099784;7.564465854;4394;4394;0.566124614;0.000254134;1.85238E-05;0.000362605;3529;7.564465854;4394;0.132197041;0.000362605
TDNN-iVector Nigmatulina;Zurich;41;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;14;14;Yes;29415;29967;6.784099784;6.481047085;20320;20320;0.566124614;3.55859E-05;1.85238E-05;3.11456E-05;29967;6.481047085;20320;0.157191565;3.11456E-05
TDNN-iVector Nigmatulina;Grisons;22;Dieht;ArchiMob;historical interviews;manual;Yes;All;Yes;43;1;1;Yes;441;48313;6.784099784;6.886621315;900;900;0.566124614;0.002233816;1.85238E-05;0.002188679;48313;6.886621315;900;15.90813303;0.002188679
